,title,point,link,Show,date,genre,streaming_site,summary
73,Sons of Anarchy,"6,264,400",https://flixpatrol.com//title/sons-of-anarchy/,TV Show,09/03/2008,Action,"['google', 'itunes', 'netflix', 'plus']","An adrenalized drama with darkly comedic undertones that explores a notorious outlaw motorcycle club’s (MC) desire to protect its livelihood while ensuring that their simple, sheltered town of Charming, California remains exactly that, charming. The MC must confront threats from drug dealers, corporate developers, and overzealous law officers. Behind the MC’s familial lifestyle and legally thriving automotive shop is a ruthless and illegal arms business driven by the seduction of money, power, and blood."
74,Harry Potter,"6,242,500",https://flixpatrol.com//franchise/harry-potter/,Franchise,2001 – 2011,Fantasy,[],The Harry Potter films are a fantasy series based on the series of seven Harry Potter novels by British writer J. K. Rowling.
75,Barbie,"6,117,300",https://flixpatrol.com//franchise/barbie/,Franchise,2001 – 2017,2001–2017,[],"STARRING
Kelly Sheridan, Kathleen Barr, Tabitha St. Germain, Lalainia Lindbjerg, Erica Lindbeck, Tim Curry, Melissa Lyons


DIRECTED BY
William Lau, Owen Hurley, Conrad Helten, Zeke Norton, Greg Richardson, Michael Goguen, Terry Klassen"
76,Two and a Half Men,"5,774,900",https://flixpatrol.com//title/two-and-a-half-men/,TV Show,09/22/2003,Comedy,"['google', 'itunes']",A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.
77,Mr. Bean,"5,758,900",https://flixpatrol.com//franchise/mr-bean/,Franchise,2007 – 2007,Comedy,[],Collection of Mr. Bean movies.
78,The Office,"5,740,500",https://flixpatrol.com//title/the-office-2005/,TV Show,03/24/2005,Comedy,"['amazon', 'prime', 'google', 'hbo', 'itunes', 'netflix', 'vudu']","The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company."
79,Futurama,"5,676,400",https://flixpatrol.com//title/futurama/,TV Show,03/28/1999,Animation,"['disney', 'google', 'hulu', 'itunes', 'plus']","The adventures of a late-20th-century New York City pizza delivery boy, Philip J. Fry, who, after being unwittingly cryogenically frozen for one thousand years, finds employment at Planet Express, an interplanetary delivery company in the retro-futuristic 31st century."
80,The Crown,"5,658,400",https://flixpatrol.com//title/the-crown/,TV Show,11/04/2016,History,['netflix'],"The gripping, decades-spanning inside story of Her Majesty Queen Elizabeth II and the Prime Ministers who shaped Britain's post-war destiny.   The Crown tells the inside story of two of the most famous addresses in the world – Buckingham Palace and 10 Downing Street – and the intrigues, love lives and machinations behind the great events that shaped the second half of the 20th century. Two houses, two courts, one Crown."
81,The West Wing,"5,571,400",https://flixpatrol.com//title/the-west-wing/,TV Show,09/22/1999,Drama,"['google', 'hbo', 'itunes']",The West Wing provides a glimpse into presidential politics in the nation's capital as it tells the stories of the members of a fictional presidential administration. These interesting characters have humor and dedication that touches the heart while the politics that they discuss touch on everyday life.
82,Seinfeld,"5,562,400",https://flixpatrol.com//title/seinfeld/,TV Show,07/05/1989,Comedy,"['amazon', 'itunes', 'netflix']","Seinfeld is an American television sitcom that originally aired on NBC from July 5, 1989, to May 14, 1998. It lasted nine seasons, and is now in syndication. It was created by Larry David and Jerry Seinfeld, the latter starring as a fictionalized version of himself. Set predominantly in an apartment block in Manhattan's Upper West Side in New York City, the show features a handful of Jerry's friends and acquaintances, particularly best friend George Costanza, former girlfriend Elaine Benes, and neighbor across the hall Cosmo Kramer."
