,id,reviewScore,createDate,reviewContent
0,3361441178,5,2022-02-07T03:38:04.018+0000,여자에게 좋은 석류~ 낱개로 포장되어 있어서 먹기 좋아요
1,3373803116,5,2022-02-23T04:03:44.848+0000,"매번 재구매해서
잘먹고잇어요
빠른배송감사합니다"
2,3362263732,5,2022-02-08T04:14:03.166+0000,엄마가 너무 좋아하세요 피부에 좋은건 모르겟지민..
3,3364459252,4,2022-02-10T11:41:12.434+0000,좀 신맛이 강한것 빼고는 좋아요
4,3367786110,5,2022-02-15T03:46:53.352+0000,잘먹고있어요 좋아요
5,3367785811,5,2022-02-15T03:46:25.497+0000,잘먹고있어요 좋아요
6,3357909230,5,2022-01-31T12:41:25.239+0000,엄마가 콜라겐 젤리 드시고싶다 하셔서 주문해드렸어요 !! 재주문하러 올게요 ㅎㅎ
7,3366265380,5,2022-02-12T17:26:46.196+0000,늘 꾸준히 먹고있어요
8,3366634549,5,2022-02-13T08:56:24.769+0000,가격도 싸고 맛도 괜찮네요
9,3365430104,5,2022-02-11T13:48:23.947+0000,잘받았습니다 수고하세요
10,3370738059,5,2022-02-18T13:35:58.439+0000,엄마가 갱년기 증상이 있어서 석류가 좋다길래 사드렸어요. 먹기 편하고 맛있다고 좋아하시네요.
11,3360256837,5,2022-02-05T09:28:35.551+0000,탱탱하니 식감좋구요 가격도 저렴해요
12,3366505305,5,2022-02-13T04:55:29.202+0000,맛도 좋고 먹기도 편해요
13,3374553783,5,2022-02-24T02:32:44.567+0000,맛있게잘먹고있어용!! 먹기도아주편해요!
14,3361051978,5,2022-02-06T12:03:21.575+0000,잘 먹고 있습니다. 감사합니다.😊
15,3365282006,5,2022-02-11T10:22:35.364+0000,맛도 좋고 먹기편해요
16,3363871967,5,2022-02-09T23:44:40.022+0000,배송 빠르고 새콤달콤 맛있어요.
17,3363331863,5,2022-02-09T06:57:11.667+0000,맛도 괜찮고 가격도 적당하고 또 먹으려구요~~
18,3373829216,5,2022-02-23T04:38:48.666+0000,"맛있어요 
다음에 재구매 할 의향 있습니다"
19,3364989918,5,2022-02-11T04:31:41.747+0000,빠른배송 감사드려요
0,3363602694,5,2022-02-09T11:53:42.290+0000,항상 잘먹고있는 식품입니다
1,3370741222,5,2022-02-18T13:41:02.619+0000,"엄마가 꾸준히 드시고 있어서 재구매합니다.
다먹으면 또 구매하러 올게요~"
2,3361494703,5,2022-02-07T04:26:58.196+0000,두번째 구매 입니다 먹기 편하고 좋아요
3,3357425819,5,2022-01-30T02:57:22.184+0000,"불면증으로 힘든 동료에게 선물했어요
갱년기에 좋다고 하네요"
4,3364529654,5,2022-02-10T13:00:31.534+0000,꾸준히 먹어보려구요
5,3359943070,4,2022-02-05T03:00:43.368+0000,저렴해서 만족합니다감사합니다 제품은 좋았으면 좋겠네요
6,3364579901,5,2022-02-10T13:59:13.286+0000,먹기도 좋고 맛있습니다.
7,3347204543,5,2022-01-15T05:28:42.650+0000,"아주 새콤해요. 전에 다름제품 석류 먹었었는데
이제품 새콤해서 깜짝놀랐네요
그리고 젤리인데 붉은 타트체리즙이 뚝뚝 떨어져요. 먹을때 옷에 뭍지않게 조심해야겠어요
아이들도 함께 먹어봤는데 애들도 좋아하네요"
8,3371935403,4,2022-02-20T11:12:00.364+0000,"가격대비 상품 맛이 넘. 맛있어요 ㅎㅎ!!
운동할때 맛있게 먹고있어요!"
9,3364023028,5,2022-02-10T02:50:28.949+0000,맛있구 먹기도 편리해요^^
10,3362025407,5,2022-02-07T22:57:24.038+0000,어머니가 늘 드시는겁니다~~ 좋네요~
11,3363361157,5,2022-02-09T07:30:32.907+0000,배송도 빠르고~~먹기도 편하고 맛도 좋아요~
12,3356998149,3,2022-01-29T03:01:02.470+0000,생각보다 맛이 너무 없고 시고 별로예요~ 식구들이 잘먹지 않네요 ㅠㅠ
13,3358053428,5,2022-02-01T06:01:58.203+0000,배송빠르고 석류 콜라겐 먹었는데 타트체리도 있길래 구매해봅니다
14,3362279613,5,2022-02-08T04:32:11.236+0000,숙면에 도움돼 챙겨 먹어요.
15,3357830189,5,2022-01-31T07:11:44.536+0000,요즘 갱년기 증상 때문에 주문했는데 꾸준히 먹어야겠죠!! 맛있고 먹기 편해요
16,3366966532,4,2022-02-14T00:42:52.589+0000,그냥 편하게 먹기 편해요 ㅋㅋ 근데 진짜 애들이 먹기 좋은 것 같구.. 달고 적당히 신 젤리 간식으로 먹는 것 같아요
17,3370085396,5,2022-02-18T00:04:24.185+0000,엄마가 잠을 푹 못주무셔서 주문했어요 효과있기를
18,3357421313,5,2022-01-30T02:49:23.036+0000,"타트체리는 전혀 안먹어봤는데
석류 사면서 같이 사봤습니다
생각보다 크고 무거움!"
19,3372763682,5,2022-02-21T17:13:30.423+0000,새콤달콤 너무 맛있어요.  배송  완전  빠르네요
0,3345425916,4,2022-01-13T01:21:11.292+0000,"맛도 괸찬코  배송도 늦지않았어요!
운동하다 손목힘줄이 다쳐서ㅠ
 콜라겐먹으면 좀 도움된다기에 찾다가
이 제품이 눈에 띄어서 주문했습니다
다른 제품도 타트체리를 먹어본적이
있어서 참조해서 먹게 되었네요~
빨리 나아지면 쭈욱 주문할게요^^"
1,3363549681,5,2022-02-09T11:00:02.965+0000,먹기 불편하면 손이 안갈까봐 걱정했는데 그렇지 않고요. 다만 뜯는 부분이 이지컷인데 이지컷이 아니네요 ㅜ 좀 힘들게 뜯기는게 아쉽고요ㅡ 젤리는 엄~청 쫜득 해서 먹기 좋았어요.
2,3357420769,5,2022-01-30T02:48:27.556+0000,"콜라겐 먹어볼려고 샀습니다
생각보다 크고 무거운것같아요
비싼건지 저렴한건지는 모르겠어요"
3,3372113610,5,2022-02-20T20:46:26.785+0000,선물로 드렸는데 좋아하시네요. 맛도 괜찮아요
4,3363520882,5,2022-02-09T10:29:57.664+0000,탱글탱글 상큼하니 맛있어요
5,3362208675,3,2022-02-08T03:19:51.738+0000,꾸준히 복용중입니딜
6,3350347610,3,2022-01-19T12:52:28.677+0000,중국산인거 보고 좀.. 먹기가 꺼려지네요. 전에는 아무생각없이 몇 차례 구입해서 먹었는데 괜히.. 기분이 그렇습니다. 다른거 다 좋은데 중국산은 좀..
7,3373828819,5,2022-02-23T04:38:18.297+0000,"맛도 상큼하고 먹기도 편해요
다 먹으면 다음에 재구매 할게요"
8,3371088519,5,2022-02-19T04:47:50.599+0000,선물 받으시는 분이 딱 필요했던 거라고 말씀해주셨어요 만족합니다
9,3358109187,5,2022-02-01T10:20:36.404+0000,감사합니다. 잘 먹고 있어요
10,3374474404,4,2022-02-24T00:42:56.440+0000,먹기도   편하고  새콤달콤하고   맛있어요
11,3369497035,4,2022-02-17T04:22:53.858+0000,후기가 좋아 구매했어요! 배송이 빨라 만족합니다
12,3359041447,5,2022-02-03T16:40:54.646+0000,"이지컷 있어서 잘 뜯어져 편해여
새콤달콤 젤리 형태라 맛도 좋고 식감이 있어 허기도 살짝 채워지는 느낌? ㅋ
계속 꾸준히 먹고 있고 앞으로도 좋은 가격으로 먹을수 있었음 좋겠네용~"
13,3342285510,5,2022-01-08T13:37:46.598+0000,"이거 먹고 재구매입니다. 콜라겐은 필수라 뭐든 먹어야하는데 이거 맛까지 좋아요 ㅎㅎㅎ 300달톤이니 뭐 효과도 있겠죠~ 솔직히 달라진건 모르겠는데 그냥 꾸준히 먹으려구요^^
근데 이거 진짜 뻘리 개선해야할게 이지컷이 전혀 이지하지 않아요;;; 너무 안 잘라져요&hellip;얼른 개선해주세요."
14,3365370562,5,2022-02-11T12:26:44.263+0000,남자친구가 평상시에 잠을 잘 못자서 선물용으로 샀는데 가격도 착하고 서비스로주신 콜라겐젤리는 제가먹고있는데 너무맛있어요
15,3343030630,5,2022-01-10T00:36:43.879+0000,"석류즙 먹다가 스틱으로 바꿨는데 가지고 다니며 먹기도 편하고 아주 좋네요~ 석류즙은 전체양은 많지만 성분함량이 낮아서 먹고 효과가 있으려나 생각했었는데, 젤리는 성분함량이 높으니 왠지 하나만 먹어도 효과가 좋을것 같은 느낌 ㅎ부지런히 먹어 보렵니다"
16,3374588425,5,2022-02-24T03:23:01.818+0000,배송도 빠르고 맛도 괜찮아요 잘 먹을거같아요
17,3359512327,5,2022-02-04T10:42:15.740+0000,엄마가 드시는데 좋다고하십니다!
18,3373227525,5,2022-02-22T09:13:17.445+0000,맛도 괜찮고 하루에 1포씩 잘 챙겨 먹고 있어요~
19,3358684350,5,2022-02-03T04:11:34.165+0000,엄마가 드시는거라 매번 주문합니다~
0,3346853989,3,2022-01-14T14:18:02.782+0000,"처음사봤어요
솔직히써도될까요 ㅠ ㅠ
다음번엔 그냥 먹던 빨간스캔들 사먹을려구요
젤리물이 너무흐르고 너무시어서요
저는 ^^;; 한번으로 만족!!
추가로산 콜라겐 구민 만족합니당!!"
1,3354478994,5,2022-01-25T10:03:26.870+0000,와우 배송 엄청 빠르네요  먹기 좋은 스틱이여서 간편하고 좋네요
2,3354404747,5,2022-01-25T08:27:17.097+0000,엄마가 사달라고해서 주문했습니다..다 먹고 또 들리겠습니다.
3,3358866842,5,2022-02-03T10:05:35.494+0000,맛도 좋고 재구매할 것 같아요
4,3354715422,5,2022-01-25T14:19:01.746+0000,"선물포장되있어서 좋아요
짱새콤해요 얼집쌤 명절선물입니당"
5,3369781659,5,2022-02-17T10:16:07.808+0000,엄마가 좋아해요  먹기편해서  계속 찾으시네요
6,3367007754,4,2022-02-14T01:30:07.721+0000,맛도 좋고 먹기 편하고 좋습니다 굿굿.재구매의사있어요
7,3353350902,5,2022-01-23T22:10:17.957+0000,포장도 아주 잘되어 있고 선물로 들리니 아주 좋아하셨어요!만족합니다
8,3373372638,5,2022-02-22T11:48:54.094+0000,"늘 먹는 재구매인데
가성비가 좋아요"
9,3346318719,5,2022-01-14T02:45:57.439+0000,기존에 먹던 석류젤리 대신 당류가 적은 타트체리를 구매했습니다. 포장도 환경소재로 꼼꼼하게 해주셨습니다. 사은품 구미도 타트체리 버전이 있으면 좋겠어요!
10,3358700104,5,2022-02-03T04:42:01.509+0000,먹기 편리하고 맛도 좋네요
11,3348691800,5,2022-01-17T10:14:42.474+0000,계속 먹는 제품이예요 제입에 새콤쫀득하니 좋아요. 한약맛?도 살짝 나구요. 하루 한포 건강한 간식 챙기고 좋습니다
12,3360746874,5,2022-02-06T03:02:51.162+0000,배송이 빠르고 꼼꼼히 포장해주셨ㅇㅓ요
13,3374368806,5,2022-02-23T15:59:17.469+0000,선물용으로 구매했습니다
14,3356881081,5,2022-01-28T23:28:38.832+0000,계속잘먹고있어요다먹어서더시켜먹어보고후기남길께요
15,3353867899,5,2022-01-24T12:05:08.276+0000,예전에 스틱으로 먹다가 질려서 가루로 바꿔봣는데 스틱이 더 효과가 좋은것 같아서 다시 스틱으로 샀어요.
16,3372568308,5,2022-02-21T10:06:03.588+0000,너무 맛있고 먹기 편해서 재구매했어요 !
17,3373026891,5,2022-02-22T05:06:26.921+0000,빠른배송 좋은제품 정말좋아요
18,3355775034,5,2022-01-27T04:44:54.212+0000,"선물로 주문했어요ㅎ
포장도 꼼꼼하고 배송도 빨라요"
19,3359522775,3,2022-02-04T10:52:59.187+0000,먹기 편하고 좋아요
0,3364933049,5,2022-02-11T03:38:29.842+0000,"맛이 조금 시큼하지만 먹을 만해요
스틱 자르는 게 불편해서 가위로 잘라요"
